y_id,x_id,beta_orig,beta_vae,fdr_orig,fdr_vae,diff_log10fdr,skew_orig,skew_mosa,target
KRAS,ATF7IP,-0.0830365699610702,-0.066686653766488,0.1878913207638531,0.0002001591843567,2.9725311966481227,-2.2300086728401913,-1.7505270090683296,3
KRAS,SMAD4,0.1039724762900569,0.076684302300805,0.0232442292426685,1.5289265975259136e-05,3.181928514149317,-2.2300086728401913,-1.7505270090683296,1
KRAS,ARHGEF12,-0.0762078733893103,-0.0661489002172759,0.1181898228799561,0.0001062926917674,3.046076676501255,-2.2300086728401913,-1.7505270090683296,1
KRAS,KDSR,0.0868331345227666,0.0686729418716026,0.2330916733826212,0.0003921011018233,2.774128697022213,-2.2300086728401913,-1.7505270090683296,3
KRAS,PARP4,-0.0725738807370799,-0.0632799362016847,0.104043429063341,0.0002258611934796,2.663373038558758,-2.2300086728401913,-1.7505270090683296,3
KRAS,CTNNB1,-0.1114776798483183,-0.0852910039722267,0.3320815182904595,0.0001378930473815,3.381702336548063,-2.2300086728401913,-1.7505270090683296,2
KRAS,NPRL2,-0.1186798760048226,-0.0871965011228601,0.1439840484748754,9.28833717541524e-05,3.190376408368335,-2.2300086728401913,-1.7505270090683296,3
KRAS,CPEB3,-0.0804848600932655,-0.0747169319276954,0.3503501621226547,0.0014451444506679,2.3845910632529206,-2.2300086728401913,-1.7505270090683296,3
KRAS,EPS15,0.1016496380230238,0.0770098596817689,0.1441020259626053,9.283138736865668e-05,3.190975245650585,-2.2300086728401913,-1.7505270090683296,2
KRAS,CYP2C8,-0.0840433833310871,-0.074933047048806,0.3268041524754851,0.0014130052097363,2.3641438030855815,-2.2300086728401913,-1.7505270090683296,3
KRAS,LMO1,-0.0622326171719365,-0.0668373434821232,0.672474535719952,0.008003383457695,1.9244022184716787,-2.2300086728401913,-1.7505270090683296,4
KRAS,ID3,0.0982033676873688,0.0787797991518794,0.1735843411181457,0.0001634746483291,3.0260601335361716,-2.2300086728401913,-1.7505270090683296,4
KRAS,MALT1,0.0816227719787603,0.0656904143628587,0.2989229698038704,0.0010650592070223,2.448185537295865,-2.2300086728401913,-1.7505270090683296,2
KRAS,SETD2,-0.1199939097076452,-0.0857030950154644,0.151577683582072,0.0001263522987021,3.0790521185095603,-2.2300086728401913,-1.7505270090683296,3
KRAS,GNAI2,-0.1163163245281211,-0.083645316021272,0.1717249352549925,0.0001668914009345,3.012399401038788,-2.2300086728401913,-1.7505270090683296,1
KRAS,FAT1,-0.0657753787946293,-0.0622530761931363,0.680237220791132,0.0052868942456778,2.1094597684462486,-2.2300086728401913,-1.7505270090683296,3
KRAS,BCL2,0.0881098219178966,0.0655710839706422,0.2423174922083083,0.000974113851495,2.3957750468714987,-2.2300086728401913,-1.7505270090683296,2
KRAS,SMAD2,0.0814833105858685,0.0640001177664704,0.3671898062855611,0.0027166567381686,2.130855849242369,-2.2300086728401913,-1.7505270090683296,2
KRAS,PBRM1,-0.1125630867469793,-0.0819366991595349,0.222160662049703,0.00029736948697,2.873370757370278,-2.2300086728401913,-1.7505270090683296,3
KRAS,JAK1,0.0987568157845588,0.0752546184988847,0.2638783626243113,0.0001625647140378,3.2103774961813167,-2.2300086728401913,-1.7505270090683296,2
KRAS,PAX7,0.0881747980600495,0.0697921688565749,0.192529050421475,0.0004270267813164,2.654041155840942,-2.2300086728401913,-1.7505270090683296,3
KRAS,TCF4,0.0863086178369414,0.0647411232036141,0.1468851795895255,0.0010664142141858,2.1390520534513247,-2.2300086728401913,-1.7505270090683296,3
KRAS,FUBP1,0.1143366517549324,0.0832910150125545,0.0249527141833264,1.7510345012467743e-05,3.1538230888486583,-2.2300086728401913,-1.7505270090683296,4
KRAS,HSPG2,0.1093163765876568,0.0784674573469046,0.0927763893534029,0.0001363959580218,2.8326359661920613,-2.2300086728401913,-1.7505270090683296,3
KRAS,RHOA,-0.1085325984408793,-0.0783816968585936,0.1859832992339165,0.000526985965737,2.547674897983705,-2.2300086728401913,-1.7505270090683296,2
KRAS,PRKCD,-0.1158941329931455,-0.082785553599082,0.2004593775539947,0.0004516790083075,2.6471964702166355,-2.2300086728401913,-1.7505270090683296,2
KRAS,NUP98,-0.069065925003692,-0.0618889552140897,0.4561002404200223,0.0057899635212428,1.8963844736349702,-2.2300086728401913,-1.7505270090683296,3
KRAS,EPHA2,0.0767334732191735,0.0623678712217949,0.2502258867239547,0.001157456099118,2.334827709182975,-2.2300086728401913,-1.7505270090683296,2
KRAS,CACNA1D,-0.1248308023070325,-0.0840388459144052,0.1145102966089756,0.0003345364011397,2.5344011590352777,-2.2300086728401913,-1.7505270090683296,2
KRAS,SDHB,0.0778348993960635,0.0607636041882361,0.3347118838134291,0.002467501399949,2.13241372434497,-2.2300086728401913,-1.7505270090683296,3
KRAS,ERBB4,-0.1162544505066442,-0.0773515812696271,0.1938504725432218,0.0091711394722453,1.3250435658798385,-2.2300086728401913,-1.7505270090683296,2
