y_id,x_id,n_orig,beta_orig,lr_orig,covs_orig,pval_orig,fdr_orig,n_vae,beta_vae,lr_vae,covs_vae,pval_vae,fdr_vae,log10p_orig,log10p_vae,diff_log10p
RAC1,WNK4,706.0,-0.0257946259726911,2.6292201627716167,16.0,0.1049132310570172,0.5920988847253316,1523.0,-0.0560286417915761,36.61316681214157,19.0,1.440553953542635e-09,6.757398503742911e-07,0.9791697376148338,8.8414704713044,7.862300733689565
CDK6,MTOR,706.0,0.0701492723480852,10.798889193841887,16.0,0.0010156101725707,0.1493207366543761,1523.0,0.0839246248428627,45.60888485997293,19.0,1.443851653170162e-11,8.127440955694842e-09,2.99327295778926,10.840477425546982,7.847204467757722
RAC1,LASP1,706.0,-0.0371863083715275,5.7891380821520215,16.0,0.016125493492275,0.557009516172922,1523.0,-0.0566543096626479,40.08847118367794,19.0,2.427172269283602e-10,2.306489290481219e-07,1.7924869856730108,9.614899398392343,7.8224124127193315
RAC1,STAT5B,706.0,-0.0232473742705054,2.12565641517358,16.0,0.1448507129222893,0.6393678746021608,1523.0,-0.0551147408062819,35.75050652416121,19.0,2.2427365149431408e-09,9.7110491097038e-07,0.8390793629562199,8.64922174595686,7.81014238300064
ATL2,MLLT10,706.0,0.0438743063383397,8.057516427511018,16.0,0.0045315258570895,0.4498655331106523,1523.0,0.0600614386129585,42.30842041360848,19.0,7.795619599129445e-11,9.759613008637325e-08,2.3437555375602033,10.108149361194961,7.764393823634758
RAC1,STAT3,706.0,-0.0262893503382883,2.6960754564761373,16.0,0.1005955919020787,0.5756463232205096,1523.0,-0.0551741094463404,36.19454029504686,19.0,1.785701346793106e-09,7.554184507071039e-07,0.9974210496433824,8.748191173826761,7.750770124183379
MIPEP,LEF1,706.0,0.0463159280874272,8.458338940034537,16.0,0.0036337355657606,0.2828394534036839,1523.0,0.058680035431414,42.6599256294694,19.0,6.513308682187374e-11,7.332682914406546e-08,2.4396466803602768,10.186198339023232,7.7465516586629555
SOX10,MN1,706.0,-0.0206679291307585,1.880512671134511,16.0,0.1702758907627148,0.8406522546510755,1523.0,-0.0582249296268688,35.142774766662114,19.0,3.063961068106767e-09,5.7490122841243305e-06,0.7688468391186478,8.513716757320706,7.744869918202058
UBE2D3,SFPQ,706.0,0.0420313530960521,3.5024930730623964,16.0,0.0612765193518051,0.5272046766352629,1523.0,0.0754758467297116,36.76978338811477,19.0,1.329347529546412e-09,9.07674321774074e-07,1.2127059116071042,8.876361467188307,7.663655555581203
HAUS1,CRLF2,706.0,-0.0328437583493468,1.8208767253236149,16.0,0.1772089531745089,0.9747518939485,1523.0,-0.0560241492079911,34.62347422380026,19.0,4.000528563073711e-09,1.0925351624688228e-06,0.7515143399204245,8.39788262445679,7.646368284536365
DCLRE1B,PRDM16,706.0,0.0496297438653883,10.556670797823244,16.0,0.0011576951986766,0.0724169920277663,1523.0,0.0618103505094058,44.40134966650112,19.0,2.675026166914388e-11,1.505772229356109e-08,2.936405767860001,10.572671965384455,7.636266197524454
